Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
raspberries and pasta cup,grocery,no,no,,no,,na,,no,,35.03
Chocolate Pretzels,grocery,no,no,,no,,na,,no,,23.31
Burritos,grocery,no,no,,no,,no,,no,,72.21
Popcorn,grocery,no,no,,no,,na,,no,,32.9
Pretzels,grocery,no,no,,no,,na,,no,,48.2
Ice Cream Sandwiches,dairy,no,no,,no,,no,,no,,90.72
Protein Bars,grocery,no,no,,no,,na,,no,,27.71
Nuts,grocery,no,no,,no,,na,,no,,67.47
GF Cookies,baked,no,no,,no,,na,,no,,53.01
Ice cream,dairy,no,no,,yes,,na,,no,,167.5
Cookies,grocery,no,no,,no,,na,,no,,10.84
Aloe Drink,beverages,no,no,,no,,na,,no,,71
Snacks,grocery,no,no,,no,,na,,no,,215.02
Chocolate,grocery,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,Fair Trade Certified,na,,no,,96.06
Cheese and Milkshake,dairy,no,no,,no,,no,,no,,241.54
grocery,grocery,no,no,,no,,na,,no,,1777.82
Prepared Meals,grocery,no,no,,no,,na,,no,,87.21
Gum,grocery,no,no,,no,,na,,no,,81.48
Breads,baked,no,no,,no,,na,,no,,79.91
Cheese,dairy,no,no,,no,,no,,no,,36.18
Candy,grocery,no,no,,no,,na,,no,,292.4
Popcorn,grocery,no,no,,no,,na,,no,,26.97
Dairy,dairy,no,no,,no,,na,,no,,364.08
Crackers,grocery,no,no,,no,,na,,no,,49.89
eggs,eggs,no,no,,no,,no,,no,,280.55
beverages,beverages,no,no,,no,,na,,no,,217.26
Apple Sauce,grocery,no,no,,no,,na,,no,,9.41
Potatoes,grocery,no,no,,no,,na,,no,,12.15
Chips,grocery,yes,no,,no,,na,,no,,102.4
Baking Soda,grocery,no,no,,no,,na,,no,,3.28
Bagel Bites,grocery,no,no,,no,,na,,no,,100.8
Extra Firm Tofu,grocery,no,no,,yes,,na,,no,,88.34
Pancake Mix,grocery,no,no,,no,,na,,no,,8.08
Beef Ravioli,grocery,no,no,,no,,na,,no,,19.8
Granulated Sugar,grocery,no,no,,no,,na,,no,,4.2
Soup,grocery,no,no,,no,,na,,no,,81.38
Preserve,grocery,no,no,,no,,na,,no,,15.71
Solbites,beverages,no,no,,no,,na,,no,,20.04
Chicken,meat,no,no,,no,,no,,no,,5683.15
Broccoli & Cheese,grocery,no,no,,no,,na,,no,,15.48
drink,beverages,no,no,,yes,,na,,no,,30.76
Miso Soup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,14.77
Ketchup,grocery,no,no,,no,,na,,no,,24
snacks,grocery,no,no,,no,,na,,no,,272.05
Corn Pops,grocery,no,no,,no,,na,,no,,41.28
Snacks/Condiments,grocery,no,no,,no,,na,,no,,42.72
Salt ,grocery,no,no,,no,,na,,no,,4.84
Picante,grocery,no,no,,no,,na,,no,,26.4
Yoghurt,dairy,no,no,,no,,na,,no,,636.7
Black Bean Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,30.85
Granola,grocery,no,no,,no,,na,,no,,60.48
Mac & Cheese,grocery,no,no,,no,,na,,no,,52.56
Chicken,grocery,no,no,,no,,na,,no,,5.04
Pizza Rolls,grocery,no,no,,no,,na,,no,,38.16
Oil,grocery,no,no,,no,,na,,no,,27.68
Cookies and Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,89.52
Ice Cream Sandwich,grocery,no,no,,no,,na,,no,,18.05
Almonds,grocery,no,no,,yes,USDA Certified Organic,na,,no,,28.49
Snack Bars,grocery,no,no,,yes,,na,,no,,206.94
Cheese,dairy,no,no,,no,,na,,no,,40.98
Beef ,meat,yes,no,,no,,no,,no,,3152.63
Drinks,beverages,no,no,,no,,na,,no,,227.67
Jerky,meat,no,no,,no,,no,,no,,55.44
Ice Cream,dairy,no,no,,yes,Fair Trade Certified,na,,no,,265.48
Milkshakes,grocery,no,no,,no,,na,,no,,113.1
Cheese,dairy,no,no,,no,,na,,no,,61.5
Pita Chips,grocery,no,no,,no,,na,,no,,52.74
Snacks,grocery,no,no,,no,,na,,no,,46
Pork ,meat,yes,no,,no,,no,,no,,3689.72
Desserts,baked,no,no,,no,,na,,no,,26.3
Turkey ,poultry,yes,no,,no,,no,,no,,2904.58
Juice,beverages,no,no,,no,,na,,no,,965.82
Bread/Tortillas/Bagels,grocery,no,no,,no,,na,,no,,68.24
Water,beverages,no,no,,no,,na,,no,,53.75
Snacks,grocery,no,no,,yes,,na,,no,,300.54
Energy Bars,grocery,no,no,,no,,na,,no,,24.5
Spicy Chicken Sandwich,grocery,no,no,,no,,na,,no,,18.27
Oats,grocery,no,no,,no,,na,,no,,23.78
Snack Mix,grocery,no,no,,no,,na,,no,,19.48
Juice,beverages,no,no,,no,,na,,no,,152.57
Gum,grocery,no,no,,no,,na,,no,,9.19
baking ingredients ,grocery,no,no,,no,,na,,no,,567.75
Energy Drink,grocery,no,no,,no,,na,,no,,464.1
Bread/Baked Goods,baked,no,no,,no,,na,,no,,1471.22
Ice Cream,dairy,no,no,,no,,na,,no,,191.34
Honey ,grocery,yes,no,,no,,na,,no,,76.8
Chicken,grocery,no,no,,no,,na,,no,,59.68
Cookies,baked,no,no,,no,,na,,no,,17.67
Emergen-C,grocery,no,no,,no,,na,,no,,67.13
Soup,grocery,no,no,,no,,na,,no,,25.62
Egg,eggs,no,no,,yes,,no,,no,,38.86
Prepared Meals,grocery,no,no,,no,,na,,no,,98.24
Popcorn,grocery,no,no,,no,,na,,no,,60.7
Pasta,grocery,no,no,,yes,USDA Certified Organic,na,,no,,44.07
Pasta,grocery,no,no,,no,,na,,no,,59.48
Granola Bar,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,23.3
Pita Chips,grocery,no,no,,no,,na,,no,,79.11
Cereal,grocery,no,no,,no,,na,,no,,43.84
Tea,teacoffee,no,no,,no,,na,,no,,52.92
Pasta,grocery,no,no,,yes,USDA Certified Organic,na,,no,,23.68
Nuts,grocery,no,no,,no,,na,,no,,53.34
Chips,grocery,no,no,,no,,na,,no,,37.4
Snapea Crisps,grocery,no,no,,no,,na,,no,,77.2
Raspberry Jam,grocery,no,no,,yes,USDA Certified Organic,na,,no,,14.86
Ice cream,dairy,no,no,,no,,no,,no,,124.26
Tea,beverages,no,no,,no,,na,,no,,14.79
Chocolate,grocery,no,no,,no,,na,,no,,96.28
Microwave meals,grocery,no,no,,yes,,na,,no,,603.25
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,58.65
Energy Bars,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,37.1
Coconut Water,beverages,no,no,,yes,USDA Certified Organic,na,,no,,17.69
Edamame,grocery,no,no,,no,,na,,no,,21.88
Chips,grocery,no,no,,no,,na,,no,,112.11
Chocolate Chips,grocery,no,no,,no,,na,,no,,42
Energy Chews,grocery,no,no,,yes,USDA Certified Organic,na,,no,,16.65
Peanut Butter,grocery,no,no,,no,,na,,no,,268.87
Chips,grocery,no,no,,no,,na,,no,,180.92
Juice,beverages,no,no,,no,,na,,no,,69.16
grocery ,grocery,no,no,,no,,na,,no,,469.91
Energy Bar,grocery,no,no,,no,,na,,no,,16.75
Almond Milk,beverages,no,no,,no,,na,,no,,43.84
Tortilla Chips ,grocery,no,no,,yes,,na,,no,,41.24
Apple Sauce,grocery,no,no,,yes,USDA Certified Organic,na,,no,,11.82
Rice Milk,beverages,no,no,,yes,,na,,no,,30.25
"vanilla, cinnamon ",grocery,no,no,,yes,,na,,no,,31.35
Raspberry Lemonade ,beverages,no,no,,yes,,na,,no,,26.57
Soda and beverages,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,1108.17
Iced Teas,teacoffee,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,322.56
Juice,beverages,no,no,,no,,na,,no,,1187.56
"Tea, Coffee, Juice",teacoffee,no,no,,no,,na,,no,,735.1
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,90.4
Grocery,grocery,no,no,,no,,na,,no,,550.42
Yogurt and Cheese,dairy,no,no,,no,,no,,no,,63.54
Soy Milk,beverages,no,no,,no,,na,,no,,36.44
Ham,meat,no,no,,no,,no,,no,,145.47
Tortillas,baked,no,no,,no,,na,,no,,64.44
Frozen Foods,grocery,no,no,,no,,na,,no,,577.62
Grocery,grocery,no,no,,no,,na,,no,,772.55
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,45.2
"Cheese, Egg white liquid, cream cheese",dairy,no,no,,no,,no,,no,,648.95
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,77.72
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,37.86
Cheese,dairy,no,no,,no,,na,,no,,125.22
Cheese,dairy,no,no,,no,,na,,no,,21.44
meat,meat,no,no,,no,,no,,no,,805.52
Soy Milk,beverages,no,no,,no,,na,,no,,72.86
turky,poultry,no,no,,no,,no,,no,,94.12
Lite Cream Cheese,grocery,no,no,,no,,na,,no,,23.36
Fruit,grocery,no,no,,no,,na,,no,,102.1
"Sausage, Bologna, Ham",meat,no,no,,no,,no,,no,,154.3
Pineapple Juice,beverages,no,no,,no,,na,,no,,27.57
Tea and Coffee,teacoffee,no,no,,no,,na,,no,,423.11
Chai,beverages,no,no,,yes,USDA Certified Organic,na,,no,,99.25
Chips,grocery,no,no,,no,,na,,no,,13.3
Energy Bars,grocery,no,no,,yes,Fair Trade Certified,na,,no,,24.44
"Shrimp, Tuna",fish,no,no,,no,,no,,no,,189.37
Honey,grocery,no,no,,no,,na,,no,,29.9
Bread,grocery,no,no,,no,,na,,no,,77.86
Pancake Mix,grocery,no,no,,no,,na,,no,,26.58
Salami,meat,no,no,,no,,no,,no,,50.5
Asian Prepared Food,grocery,no,no,,no,,na,,no,,120.78
Pasta,grocery,no,no,,no,,na,,no,,41.28
Coffee and Chai,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,151.71
Tomatos/Artichokes,grocery,no,no,,no,,na,,no,,86.02
"bread, tortilla, ",grocery,no,no,,no,,na,,no,,545.48
Egg Whites,eggs,no,no,,no,,no,,no,,48.14
groceries,grocery,no,no,,no,,na,,no,,116.47
Frozen Pie,baked,no,no,,no,,na,,no,,44.93
"Cheese, Yoghurt",dairy,no,no,,no,,no,,no,,192.62
Tortillas,grocery,no,no,,no,,na,,no,,21.48
"potato, onion ring",grocery,no,no,,no,,na,,no,,436.25
Frozen Foods,grocery,no,no,,no,,na,,no,,183.86
Grocery,grocery,no,no,,no,,na,,no,,120.36
Condiments,grocery,no,no,,no,,na,,no,,159.98
Frozen fruit,grocery,no,no,,no,,na,,no,,213.18
juice,beverages,no,no,,no,,na,,no,,212.82
Olives/Artichokes/Pepperoncini/Crackers,grocery,no,no,,no,,na,,no,,174.58
Cheese,dairy,no,no,,no,,na,,no,,322.65
grocery,grocery,no,no,,no,,na,,no,,1462.42
"Frozen bread, cookie dough",baked,no,no,,no,,na,,no,,149.47
Cookie/Bread Dough,grocery,no,no,,no,,na,,no,,609.95
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,38.86
cereal and bars,grocery,no,no,,yes,,na,,no,,139.28
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,50.48
cheese,dairy,no,no,,no,,na,,no,,1037.11
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,100.96
Cheese,dairy,no,no,,no,,no,,no,,90.06
Baklava,grocery,no,no,,no,,na,,no,,57
liquid egg,eggs,no,no,,no,,no,,no,,448.88
Tofu,grocery,no,no,,yes,,na,,no,,75.72
Meat,meat,no,no,,no,,no,,no,,739.09
Fish,fish,no,no,,no,,no,,no,,651.4
Frozen Veggies,produce,no,no,,no,,na,,no,,110.3
Tortillas,grocery,no,no,,no,,na,,no,,21.48
snacks,grocery,no,no,,no,,na,,no,,613.89
Potatoes,grocery,no,no,,no,,na,,no,,438.12
Tomatoes,produce,no,no,,no,,na,,no,,42.6
Pasta,grocery,no,no,,no,,na,,no,,137.76
"milk, soy milk ",dairy,no,no,,yes,,no,,no,,183.02
Bread/Baked Goods,grocery,no,no,,no,,na,,no,,171.71
Edamame,grocery,no,no,,no,,na,,no,,27.09
Oil Spray,grocery,no,no,,no,,na,,no,,16.97
Ravioli,grocery,no,no,,no,,na,,no,,52.7
Corn,grocery,no,no,,no,,na,,no,,24.66
dairy products,dairy,no,no,,no,,na,,no,,3185.92
Oil and Vinegar,grocery,no,no,,no,,na,,no,,152
Condiments,grocery,no,no,,no,,na,,no,,648.22
Bread/Chips/Pasta/Rice,grocery,no,no,,no,,na,,no,,246.58
Produce,produce,no,no,,no,,na,,no,,605.89
Kidney Beans,grocery,no,no,,no,,na,,no,,21.79
Bread ,baked,no,no,,no,,na,,no,,308.65
Basil,produce,yes,no,,yes,USDA Certified Organic,na,,no,,48.4
Grocery,grocery,no,no,,no,,na,,no,,620.4
Cheese,dairy,no,no,,no,,na,,no,,733.12
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,116.58
Herb,produce,yes,no,,yes,,na,,no,,41.21
Liquid Eggs,eggs,no,no,,no,,na,,no,,336.66
Salad Spring Mix ,produce,no,no,,yes,,na,,no,,50.84
Pickle Chips,grocery,no,no,,no,,na,,no,,30.77
Chocolate Eggs,grocery,no,no,,no,,na,,no,,333.96
salad,produce,no,no,,yes,,na,,no,,127.1
Candy Eggs,grocery,no,no,,no,,na,,no,,11.36
herbs,produce,yes,no,,yes,,na,,no,,67.92
Mustard,grocery,no,no,,no,,na,,no,,27.94
Plum Sauce,grocery,no,no,,no,,na,,no,,15.36
Drinks,beverages,no,no,,no,,na,,no,,117.25
Rice,grocery,no,no,,no,,na,,no,,19.08
"fruits, veggies ",produce,no,no,,no,,na,,no,,6507.84
Produce,produce,no,no,,no,,na,,no,,3178.96
Crushed Tomatillo,grocery,no,no,,no,,na,,no,,44.13
Tea,beverages,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,500
Jerky,grocery,no,no,,no,,na,,no,,177.2
Drinks,beverages,no,no,,no,,na,,no,,98
"Honey, Sugar",grocery,no,no,,no,,na,,no,,125.25
Cheese,dairy,no,no,,no,,no,,no,,123.21
Udon Noodles,grocery,no,no,,no,,na,,no,,31.83
Tea,beverages,no,no,,no,,na,,no,,126.5
Hummus and dip,grocery,no,no,,no,,na,,no,,102.91
Coconut Water,beverages,no,no,,no,,na,,no,,152.88
Meat,meat,no,no,,no,,no,,no,,138.63
Cheese,dairy,no,no,,no,,na,,no,,313.14
Water,beverages,no,no,,no,,na,,no,,130
Drinks,beverages,no,no,,no,,na,,no,,63
bread,baked,no,no,,no,,na,,no,,24.42
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,77.72
Soda,beverages,no,no,,no,,na,,no,,100
Eggs,eggs,no,no,,no,,na,,no,,224.44
organic produce,produce,no,no,,yes,,na,,no,,148.25
Energy Drink,beverages,no,no,,yes,USDA Certified Organic,na,,no,,25.7
Energy Drink,beverages,no,yes,Fair Trade Certified by Ecocert,yes,USDA Certified Organic,na,,no,,46.5
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,100.96
tea/juice,beverages,no,yes,,yes,,na,,no,,320
Chocolate ,grocery,no,no,,no,,na,,no,,24.07
Drinks,beverages,no,no,,no,,na,,no,,57.7
Tea,beverages,no,no,,no,,na,,no,,46
yoghurt,dairy,no,no,,no,,no,,no,,351.15
Energy Drink,beverages,no,no,,yes,USDA Certified Organic,na,,no,,32
 Cookie Dough ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,20.53
Drinks,beverages,no,no,,no,,na,,no,,706.77
Pasta,grocery,no,no,,yes,USDA Certified Organic,na,,no,,161.84
eggs,eggs,no,no,,no,,no,,no,,91.46
Miso Cup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,14.77
Yogurt,dairy,no,no,,no,,no,,no,,117.85
Gluten Free Bread,grocery,no,no,,no,,na,,no,,116.2
Yogurt Drink,beverages,no,no,,no,,na,,no,,63.65
Pizza Crust,grocery,no,no,,no,,na,,no,,68.48
Snack foods,grocery,no,no,,no,,na,,no,,777.53
Mango Juice,beverages,no,no,,yes,USDA Certified Organic,na,,no,,21.77
Chicken ,meat,no,no,,no,,no,,no,,2603.09
Tapioca Pudding,grocery,no,no,,no,,na,,no,,29.45
Yogurt,dairy,no,no,,no,,na,,no,,117.85
"Bars, Cashews",grocery,no,no,,yes,USDA Certified Organic,na,,no,,59.21
"Crab, Salmon, Tuna, Shrimp",fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,na,,no,,1294.94
Peanut Butter,grocery,no,no,,yes,USDA Certified Organic,na,,no,,27.68
Beef,meat,yes,no,,no,,no,,no,,4886.19
Almond Milk,beverages,no,no,,no,,na,,no,,42.78
Tea,beverages,no,no,,no,,na,,no,,21.46
Jerky,meat,no,no,,no,,no,,no,,53.32
Drinks ,beverages,no,no,,no,,na,,no,,386
Chocolate,grocery,no,yes,Fair for Life Certified by IMO,no,,na,,no,,103.34
Drinks,beverages,no,no,,yes,,na,,no,,119.64
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,55.2
Protein Powder,grocery,no,no,,no,,na,,no,,48.34
butter,dairy,no,no,,yes,,no,,no,,57.03
Trail Mix,grocery,no,no,,no,,na,,no,,9.98
Drinks ,beverages,no,no,,no,,na,,no,,410
Candy,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,440.43
Honey sticks,grocery,no,no,,yes,USDA Certified Organic,na,,no,,13.45
drinks,beverages,no,no,,yes,,na,,no,,212.99
Cookie Dough,grocery,no,no,,no,,na,,no,,24.76
Drinks,beverages,no,no,,no,,na,,no,,172.44
dough and grain,grocery,no,no,,yes,,na,,no,,61.59
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,20.53
Pork,meat,yes,no,,no,,no,,no,,392.78
"Caviar, Salmon, Crab, Coho, Seaweed Salad  ",fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,na,,no,,948
Goat Cheese,dairy,no,no,,no,,no,,no,,18.2
Microwave meals,grocery,no,no,,yes,,na,,no,,551.22
"Wine, Chard, Merlot",beverages,no,no,,no,,na,,no,,593
Ice Cream Sandwiches,grocery,no,no,,no,,na,,no,,120.96
snacks,grocery,no,no,,no,,na,,no,,152.57
Cake and Cookie,baked,no,no,,no,,na,,no,,39.24
Aloe Drinks,beverages,no,no,,no,,na,,no,,142
Bread,grocery,no,no,,no,,na,,no,,114
Chocolate,grocery,no,no,,yes,USDA Certified Organic,na,,no,,64.04
Microwave Meals,grocery,no,no,,no,,na,,no,,551.4
Grocery,grocery,no,no,,no,,no,,no,,987.17
Mac & Cheese,grocery,no,no,,yes,USDA Certified Organic,na,,no,,33.72
"Ice cream, chocolate",dairy,no,no,,no,,no,,no,,255.73
Cheddar,dairy,no,no,,no,,no,,no,,33.72
Yogurt Drinks,grocery,no,no,,no,,na,,no,,62
Chocolate Chunk Cookie,baked,no,no,,yes,Rainforest Alliance Certified,na,,no,,19.24
Creamy Peanut Butter Cookie,baked,no,no,,no,,na,,no,,19.24
mango juice ,beverages,no,no,,yes,USDA Certified Organic,na,,no,,21
Chips,grocery,no,no,,no,,no,,no,,200.35
bars and spread,grocery,no,no,,yes,,na,,no,,131.9
Lentil/Snap Pea Crisps,grocery,no,no,,no,,na,,no,,94.64
Tapioca ,grocery,no,no,,no,,na,,no,,29
"Ice Cream, Milkshakes, Cheese, ",dairy,no,no,,no,,no,,no,,325.78
Yogurt ,dairy,no,no,,no,,na,,no,,117
"Lunchables, Wieners",meat,no,no,,no,,no,,yes,Contains Partially Hydrogenated Oil (trans fats),39.84
Crispbread,baked,no,no,,yes,USDA Certified Organic,na,,no,,17.4
Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,27
Asiago Chips,grocery,no,no,,no,,na,,no,,16.1
Ice Cream,dairy,no,yes,Fair Trade Certified by Fair Trade USA,yes,Fair Trade Certified,no,,no,,200.1
Milk ,beverages,no,no,,no,,na,,no,,42
Tea,teacoffee,no,no,,no,,na,,no,,21
Chocolate ,grocery,no,no,,no,,na,,no,,103
Bread products,baked,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),117.99
snacks,grocery,no,no,,no,,na,,no,,220.22
Cliff Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,52
Water,beverages,yes,no,,no,,na,,no,,31.22
Lemonade ,grocery,no,no,,no,,na,,no,,162
HoneyStix,grocery,no,no,,no,,na,,no,,13.45
Wild Berry Mix ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,10
Protein Powder,grocery,no,no,,no,,na,,no,,48
Bars,grocery,no,no,,no,,na,,no,,75
Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,22
Agave nector,grocery,no,no,,yes,USDA Certified Organic,na,,no,,21
Nutella ,grocery,no,no,,no,,na,,no,,52
Bars,grocery,no,no,,no,,na,,no,,24.5
Bacon Jerky,meat,no,no,,no,,no,,no,,35.91
Chia ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,8
Edamame ,grocery,no,no,,no,,na,,no,,8
Juice,beverages,no,no,,no,,na,,no,,146.72
Sun Butter ,grocery,no,no,,no,,na,,no,,28
Protein Shake ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,31
"Almonds, Trail mix, peanuts",grocery,no,no,,no,,na,,no,,164.41
Edamame Snack,grocery,no,no,,no,,na,,no,,10.94
Chips,grocery,no,no,,no,,na,,no,,94.2
Chips,grocery,no,no,,no,,na,,no,,51.86
Chocolate Chips,grocery,no,no,,no,,no,,no,,42
Energy Chews,grocery,no,no,,yes,USDA Certified Organic,na,,no,,33.3
Chai Tea,teacoffee,no,no,,no,,na,,no,,17.64
Peanut Butter,grocery,no,no,,no,,na,,no,,76.8
Crackers,grocery,no,no,,no,,na,,no,,36.18
Chips,grocery,no,no,,no,,na,,no,,212.92
Energy Bar,grocery,no,no,,no,,no,,no,,16.75
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,51.28
Apple Sauce,grocery,no,no,,yes,USDA Certified Organic,na,,no,,11.82
Chocolate ,grocery,no,no,,no,,na,,no,,28.75
Rice,grocery,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,13.67
Nuts & Seeds,grocery,no,no,,no,,na,,no,,19.85
Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,34.5
Rice Cakes,grocery,no,no,,no,,na,,no,,58.62
Oatmeal,grocery,no,no,,yes,USDA Certified Organic,na,,no,,37.26
Soup,grocery,no,no,,no,,na,,no,,25.9
Artichoke Hearts,grocery,no,no,,no,,na,,no,,36.49
Pasta Sauce,grocery,no,no,,no,,na,,no,,30.51
Hazelnut Spread,grocery,no,no,,no,,na,,no,,52.89
Chicken Noodle Soup,grocery,no,no,,yes,USDA Certified Organic,yes,Humanely Raised,no,,32.58
Cereal,grocery,no,no,,no,,na,,no,,21.38
Water,beverages,no,no,,no,,na,,no,,19.16
Snack Puffs,grocery,no,no,,no,,na,,no,,82.77
Rice,grocery,no,no,,no,,na,,no,,19.57
Cough Drops,grocery,no,no,,no,,na,,no,,39.86
Lemonade,beverages,no,no,,yes,USDA Certified Organic,na,,no,,26.57
Veggie Straws,grocery,no,no,,no,,na,,no,,48.22
Producs,produce,yes,no,,no,,na,,no,,250
"chips, ",grocery,no,no,,yes,,na,,no,,85.43
Aseptic,beverages,no,no,,no,,na,,no,,63
Chips,grocery,no,no,,no,,na,,no,,79.11
Miso ,grocery,no,no,,yes,,na,,no,,29.54
Tea,beverages,no,no,,no,,na,,no,,17.64
Prepared Meals,grocery,no,no,,no,,na,,no,,27.34
Peanut Butter,grocery,yes,no,,no,,na,,no,,51.2
Assorted Baked Goods,baked,no,no,,no,,na,,no,,1131.68
Soft Drink,beverages,no,yes,,no,,na,,no,,91.2
Powdered Sugar,grocery,no,yes,Fair Trade Certified Ingredient,yes,USDA Certified Organic,na,,no,,21.17
Energy Drink,beverages,no,no,,no,,na,,no,,398.4
Greens,produce,yes,no,,no,,na,,no,,269.3
Energy Bar,grocery,no,no,,yes,,na,,no,,103.64
Peanut Butter,grocery,no,no,,yes,,na,,no,,55.88
Drinks,beverages,no,no,,no,,na,,no,,1248
Drinks,beverages,no,no,,no,,na,,no,,296.4
Energy Bars,grocery,no,no,,no,,na,,no,,50.4
groceries,grocery,no,no,,no,,na,,no,,146.07
Meat,meat,no,no,,no,,na,,no,,750.04
Cod,fish,no,no,,no,,na,,no,,132.51
Tortillas,grocery,no,no,,no,,na,,no,,64.44
Frozen Foods,grocery,no,no,,no,,na,,no,,1185.7
Ice Cream and Frozen Fruit,grocery,no,no,,no,,no,,no,,312.44
Eggs,eggs,no,no,,no,,yes,,no,,77.72
Tofu,grocery,no,no,,yes,,na,,no,,37.86
Liquid Egg ,eggs,no,no,,no,,no,,no,,43.61
Grocery,grocery,no,no,,no,,na,,no,,1383.79
Cheese,dairy,no,no,,no,,na,,no,,281.76
Eggs,eggs,no,no,,no,,yes,"""Cage Free Eggs"" by USDA-AMS",no,,77.72
Liquid Eggs,eggs,no,no,,no,,na,,no,,336.66
Juice and Tea,beverages,no,no,,no,,na,,no,,454.62
Meat,meat,no,no,,no,,na,,no,,1387.96
Tuna,fish,no,no,,no,,na,,no,,122.28
Tortillas,grocery,no,no,,no,,na,,no,,21.48
Chai and Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,842.63
Frozen Foods,grocery,no,no,,no,,na,,no,,1158.01
grocery ,grocery,no,no,,no,,na,,no,,473.38
ham ,meat,no,no,,no,,no,,no,,158.75
Tuna ,fish,no,no,,no,,no,,no,,61.14
Dried Cranberries,grocery,no,no,,no,,na,,no,,27.82
Groceries,grocery,no,no,,no,,na,,no,,1266.75
cheese,dairy,no,no,,no,,no,,no,,647.95
Cheese,dairy,no,no,,no,,na,,no,,945.55
Liquid Eggs,eggs,no,no,,no,,na,,no,,224.44
Chips and Crackers,grocery,no,no,,no,,na,,no,,159.69
Eggs,eggs,no,no,,no,,yes,"""Cage Free Eggs"" by USDA-AMS",no,,77.72
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,100.96
Cereal,grocery,no,no,,no,,na,,no,,136.08
Tempeh,grocery,no,no,,no,,na,,no,,67.62
Candy Bar,grocery,no,no,,no,,na,,no,,24.84
Meat,meat,no,no,,no,,na,,no,,278
Drinks ,beverages,no,no,,no,,na,,no,,294
Tortillas,grocery,no,no,,no,,na,,no,,42.96
Craker,grocery,no,no,,no,,na,,no,,71
Frozen Foods,grocery,no,no,,no,,na,,no,,68.46
Candy and Sugar,grocery,no,no,,no,,na,,no,,284.36
"Peanut Butter, Cereals Cheerio, Raisin Bran",grocery,no,no,,no,,na,,no,,148
Soy Milk,beverages,no,no,,no,,na,,no,,75
Groceries,grocery,no,no,,no,,na,,no,,333.61
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,45.2
Cheese,dairy,no,no,,no,,na,,no,,340.38
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,39
Pepperoni ,meat,no,no,,no,,no,,no,,35.86
Yogurt,dairy,no,no,,no,,na,,no,,8.02
"Sauces, Condiments, Spreads",grocery,no,no,,no,,na,,no,,278.27
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,390.81
Pickles ,grocery,no,no,,no,,na,,no,,36
Soy Milk,beverages,no,no,,no,,na,,no,,112.2
Tea,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,30
